ERROR  | wrapper  | 2018/11/26 14:40:53 | The mycat service is not installed - The specified service does not exist as an installed service. (0x424)
INFO   | jvm 1    | 2018/12/13 22:55:42 | 2018-12-13 22:55:42,675 [INFO ][WrapperSimpleAppMain] no ilde connection in pool,create new connection for hostM1 of schema forum  (io.mycat.backend.datasource.PhysicalDatasource:PhysicalDatasource.java:413) 
INFO   | jvm 1    | 2018/12/13 22:55:42 | 2018-12-13 22:55:42,675 [INFO ][WrapperSimpleAppMain] no ilde connection in pool,create new connection for hostM1 of schema forum  (io.mycat.backend.datasource.PhysicalDatasource:PhysicalDatasource.java:413) 
INFO   | jvm 1    | 2018/12/13 22:55:42 | 2018-12-13 22:55:42,675 [INFO ][WrapperSimpleAppMain] no ilde connection in pool,create new connection for hostM1 of schema forum  (io.mycat.backend.datasource.PhysicalDatasource:PhysicalDatasource.java:413) 
INFO   | jvm 1    | 2018/12/13 22:55:42 | 2018-12-13 22:55:42,676 [INFO ][WrapperSimpleAppMain] no ilde connection in pool,create new connection for hostM1 of schema forum  (io.mycat.backend.datasource.PhysicalDatasource:PhysicalDatasource.java:413) 
INFO   | jvm 1    | 2018/12/13 22:55:42 | 2018-12-13 22:55:42,676 [INFO ][WrapperSimpleAppMain] no ilde connection in pool,create new connection for hostM1 of schema forum  (io.mycat.backend.datasource.PhysicalDatasource:PhysicalDatasource.java:413) 
INFO   | jvm 1    | 2018/12/13 22:55:42 | 2018-12-13 22:55:42,676 [INFO ][WrapperSimpleAppMain] no ilde connection in pool,create new connection for hostM1 of schema forum  (io.mycat.backend.datasource.PhysicalDatasource:PhysicalDatasource.java:413) 
INFO   | jvm 1    | 2018/12/13 22:55:42 | 2018-12-13 22:55:42,677 [INFO ][WrapperSimpleAppMain] no ilde connection in pool,create new connection for hostM1 of schema forum  (io.mycat.backend.datasource.PhysicalDatasource:PhysicalDatasource.java:413) 
INFO   | jvm 1    | 2018/12/13 22:55:42 | 2018-12-13 22:55:42,677 [INFO ][WrapperSimpleAppMain] no ilde connection in pool,create new connection for hostM1 of schema forum  (io.mycat.backend.datasource.PhysicalDatasource:PhysicalDatasource.java:413) 
INFO   | jvm 1    | 2018/12/13 22:55:42 | 2018-12-13 22:55:42,677 [INFO ][WrapperSimpleAppMain] no ilde connection in pool,create new connection for hostM1 of schema forum  (io.mycat.backend.datasource.PhysicalDatasource:PhysicalDatasource.java:413) 
INFO   | jvm 1    | 2018/12/13 22:55:42 | 2018-12-13 22:55:42,709 [INFO ][$_NIOREACTOR-5-RW] connected successfuly MySQLConnection [id=5, lastTime=1544712942709, user=root, schema=forum, old shema=forum, borrowed=true, fromSlaveDB=false, threadId=11, charset=latin1, txIsolation=3, autocommit=true, attachment=null, respHandler=null, host=localhost, port=3306, statusSync=null, writeQueue=0, modifiedSQLExecuted=false]  (io.mycat.backend.mysql.nio.handler.GetConnectionHandler:GetConnectionHandler.java:67) 
INFO   | jvm 1    | 2018/12/13 22:55:42 | 2018-12-13 22:55:42,709 [INFO ][$_NIOREACTOR-2-RW] connected successfuly MySQLConnection [id=10, lastTime=1544712942709, user=root, schema=forum, old shema=forum, borrowed=true, fromSlaveDB=false, threadId=12, charset=latin1, txIsolation=3, autocommit=true, attachment=null, respHandler=null, host=localhost, port=3306, statusSync=null, writeQueue=0, modifiedSQLExecuted=false]  (io.mycat.backend.mysql.nio.handler.GetConnectionHandler:GetConnectionHandler.java:67) 
INFO   | jvm 1    | 2018/12/13 22:55:42 | 2018-12-13 22:55:42,709 [INFO ][$_NIOREACTOR-7-RW] connected successfuly MySQLConnection [id=7, lastTime=1544712942709, user=root, schema=forum, old shema=forum, borrowed=true, fromSlaveDB=false, threadId=10, charset=latin1, txIsolation=3, autocommit=true, attachment=null, respHandler=null, host=localhost, port=3306, statusSync=null, writeQueue=0, modifiedSQLExecuted=false]  (io.mycat.backend.mysql.nio.handler.GetConnectionHandler:GetConnectionHandler.java:67) 
INFO   | jvm 1    | 2018/12/13 22:55:42 | 2018-12-13 22:55:42,709 [INFO ][$_NIOREACTOR-2-RW] connected successfuly MySQLConnection [id=2, lastTime=1544712942709, user=root, schema=forum, old shema=forum, borrowed=true, fromSlaveDB=false, threadId=6, charset=latin1, txIsolation=3, autocommit=true, attachment=null, respHandler=null, host=localhost, port=3306, statusSync=null, writeQueue=0, modifiedSQLExecuted=false]  (io.mycat.backend.mysql.nio.handler.GetConnectionHandler:GetConnectionHandler.java:67) 
INFO   | jvm 1    | 2018/12/13 22:55:42 | 2018-12-13 22:55:42,709 [INFO ][$_NIOREACTOR-4-RW] connected successfuly MySQLConnection [id=4, lastTime=1544712942709, user=root, schema=forum, old shema=forum, borrowed=true, fromSlaveDB=false, threadId=7, charset=latin1, txIsolation=3, autocommit=true, attachment=null, respHandler=null, host=localhost, port=3306, statusSync=null, writeQueue=0, modifiedSQLExecuted=false]  (io.mycat.backend.mysql.nio.handler.GetConnectionHandler:GetConnectionHandler.java:67) 
INFO   | jvm 1    | 2018/12/13 22:55:42 | 2018-12-13 22:55:42,710 [INFO ][$_NIOREACTOR-3-RW] connected successfuly MySQLConnection [id=3, lastTime=1544712942710, user=root, schema=forum, old shema=forum, borrowed=true, fromSlaveDB=false, threadId=9, charset=latin1, txIsolation=3, autocommit=true, attachment=null, respHandler=null, host=localhost, port=3306, statusSync=null, writeQueue=0, modifiedSQLExecuted=false]  (io.mycat.backend.mysql.nio.handler.GetConnectionHandler:GetConnectionHandler.java:67) 
